Name,Health,Voice,CombatAnimation,CombatAnimationOffset,OverworldAnimation,OverworldAnimationOffset,VfxOffset,BossScreenPosition,Dice,Level,Equipment,Super Equipment,Super Dice,Super Health,Super?,Boss?,Rare?,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: End Turn,Innate,AI,Chat Voice,Chat Style,Always say First Words?,First Words,Always say Last Words?,Last Words 1,Last Words 2,Last Words 3,Last Words (if they win),Last Words Endgame
Demon,36,voiceovers/demon,halloweenspecial_demon,70|-70,halloweenspecial_devil,-20|-10,-120|-120,1070|525,4,3,Pitchfork|Chocolate Cookie,Pitchfork|Chocolate Cookie,1,8,NO,NO,NO,,,,,,strongfire,,chat_monster1,looping,NO,,NO,Woah[;] a supercool demon losing to a weirdo dice?|You'd better not tell anyone about this...,You know you're wasting your time[;] right? I mean[;]|just LOOK at you. Do you look like a winner?,I mean I live my life in the fast lane[;] but I guess it's cool that|you've got so much spare time to put into fighting.||You know it won't work out long-term[;] though[;] right?,,Woah[;] a supercool demon losing to a weirdo dice?|You'd better not tell anyone about this...
Mummy,40,voiceovers/mummy,halloweenspecial_mummy,-120|20,halloweenspecial_muumy,10|-60,-40|-80,990|620,4,4,Spooky Noises|Spooky Noises|Bandage Whip|Spooky Noises|Spooky Noises,Spooky Noises|Spooky Noises|Bandage Whip|Spooky Noises|Spooky Noises,1,8,NO,NO,NO,,,,,,weakfire,,chat_monster1,looping,NO,,NO,WOOOOOO[;] that felt good!||I'm up for a rematch whenever you are[;] kid[;] it's been a YEAR|since Lady Luck let me on stage and I am 100% READY to|MAKE THE MOST of the season!,C'mon[;] come back for one more round! Lemme have a bit|more fun before I get sent backstage again!||It's SO LONG between Halloweens...,Oooof! That one HURT.||But I'm limberin' up! I'm stretchin' my bandages!|I'll get you next time[;] kiddo!,,WOOOOOO[;] that felt good!||I'm up for a rematch whenever you are[;] kid[;] it's been a YEAR|since Lady Luck let me on stage and I am 100% READY to|MAKE THE MOST of the season!
Pumpkin Spice,66,voiceovers/pumpkin_spice,halloweenspecial_pumpkin_spice,60|20,halloweenspecial_pumpkinspice,-20|-40,-80|-10,975|500,2,6,Fade|Jab|Echo|Muddle|Mute|Haunt,Fade|Jab|Echo|Muddle|Mute|Haunt,1,8,NO,YES,NO,,,,,,immunestatus,,chat_monster1,boss_1_3,YES,,NO,,,,,
Cactus[],32,cactus,cactus_warrior,-90|80,cactuswarrior,-20|0,-120|-80,1036|585,3,1000,Sword,Sword,1,8,NO,NO,NO,,,,,,,,chat_monster2,looping,YES,YOU'RE NOT SUPPOSED TO BE SEEING THIS||WHAT IS GOING ON I DON'T UNDERSTAND,NO,,,,,
Check This Out,32,cactus,cactus_warrior,-90|80,smily,-20|0,-120|-80,1036|585,3,1000,Sword,Sword,1,8,NO,NO,NO,,,,,,,,chat_monster2,looping,YES,YOU'RE NOT SUPPOSED TO BE SEEING THIS||WHAT IS GOING ON I DON'T UNDERSTAND,NO,,,,,
Wolf Puppy?,12,wolf_puppy,wolf_puppy,-50|-40,wolfpuppy,0|0,-120|0,1017|580,3,1000,Sword,Sword,1,12,NO,NO,NO,,,,,,,,chat_monster1,looping,YES,YOU'RE NOT SUPPOSED TO BE SEEING THIS||WHAT IS GOING ON I DON'T UNDERSTAND,NO,,,,,
Wisp[],42,wisp,wisp,-40|40,wisp,20|-60,-40|-100,991|645,3,1000,Sword,Sword,1,8,NO,NO,NO,,,,,,,,chat_monster2,looping,YES,YOU'RE NOT SUPPOSED TO BE SEEING THIS||WHAT IS GOING ON I DON'T UNDERSTAND,NO,,,,,
Wisp?,42,wisp,wisp,-40|40,wisp,20|-60,-40|-100,991|645,3,1000,Sword,Sword,1,8,NO,NO,NO,,,,,,,,chat_monster2,looping,YES,THANX FOR PLAYING||YOU'RE NOT SUPPOSED TO BE SEEING THIS,NO,,,,,
Wolf Puppy[],12,wolf_puppy,wolf_puppy,-50|-40,wolfpuppy,0|0,-120|0,1017|580,3,1000,Sword,Sword,1,12,NO,NO,NO,,,,,,,,chat_monster1,looping,YES,YOU'RE NOT SUPPOSED TO BE SEEING THIS||WHAT IS GOING ON I DON'T UNDERSTAND,NO,,,,,
test weaken all enemy,100,stereohead,stereohead,-30|-10,stereohead,0|0,-140|-80,1085|675,2,1000,Lockpick|Dagger,test weaken all card,0,6,NO,NO,NO,,,,,,,,chat_monster1,looping,NO,,NO,yep,,,,
big guy,999,stereohead,wizard,40|-20,wizard,-50|-20,-40|0,983|510,0,1000,Dramatic Entrance,Dramatic Entrance,1,6,NO,NO,NO,,,,,,,,chat_monster1,looping,NO,,NO,,,,,
Combat Slam,32,cactus,cactus_warrior,-90|80,ncrcfbdice,-25|-25,-120|-80,1036|585,3,1000,Sword,Sword,1,8,NO,NO,NO,,,,,,,,chat_monster2,looping,YES,YOU'RE NOT SUPPOSED TO BE SEEING THIS||WHAT IS GOING ON I DON'T UNDERSTAND,NO,,,,,
Combat Flip,32,cactus,cactus_warrior,-90|80,ncrcfbdice,-25|-25,-120|-80,1036|585,3,1000,Sword,Sword,1,8,NO,NO,NO,,,,,,,,chat_monster2,looping,YES,YOU'RE NOT SUPPOSED TO BE SEEING THIS||WHAT IS GOING ON I DON'T UNDERSTAND,NO,,,,,
Combat Calculate,32,cactus,cactus_warrior,-90|80,ncrcfbdice,-25|-25,-120|-80,1036|585,3,1000,Sword,Sword,1,8,NO,NO,NO,,,,,,,,chat_monster2,looping,YES,YOU'RE NOT SUPPOSED TO BE SEEING THIS||WHAT IS GOING ON I DON'T UNDERSTAND,NO,,,,,
Alchemist[],28,voiceovers/alchemist,potion_mixer,-70|20,potionmixer,-20|-70,-60|-100,1017|604,3,1000,Spiky Potion|Toxic Potion|Fire Potion|Bear Potion,Bear Potion,0,6,YES,NO,YES,,,,,,,,chat_monster1,looping,NO,,NO,*sighs* I had a really good potion coming up. What a waste.,Yet again the fight ends before I get to use my best stuff.|Honestly[;] these Dungeons.,This potion was going to blow your mind! Literally!||I only had to boil it for thirty more seconds|and it would have been perfect. ,,
Alchemist?,28,voiceovers/alchemist,potion_mixer,-70|20,potionmixer,-20|-70,-60|-100,1017|604,3,1000,Spiky Potion|Toxic Potion|Fire Potion|Bear Potion,Bear Potion,0,6,YES,NO,YES,,,,,,,,chat_monster1,looping,NO,,NO,*sighs* I had a really good potion coming up. What a waste.,Yet again the fight ends before I get to use my best stuff.|Honestly[;] these Dungeons.,This potion was going to blow your mind! Literally!||I only had to boil it for thirty more seconds|and it would have been perfect. ,,
