Name,Description,Image,ImageOffset,Rule Change,Apply On Continue
Wolf Puppy (MQ),The success odds of chance-based|effects are doubled for everyone.,wolfpuppy,0|0,Rules.addplayerinnatestatus(~luck~); Rules.addenemyinnatestatus(~luck~);,YES
Sorceress (MQ),Everyone gains a random|status effect every turn.,sorceress,0|0,Rules.addextrascript(~if (target.hp > 0) {var statuslist = [FIRE[;] ICE[;] LOCK[;] SHOCK[;] WEAKEN[;] BLIND[;] CURSE[;] VANISH[;] FURY[;] DODGE[;] REDUCE]; var mystatus = rand(statuslist); inflictself(mystatus); inflict(mystatus); sfx(\~_\~ + mystatus.toLowerCase());}~[;] ~beforestartturn~);,YES
Drake (MQ),Everyone survives one fatal blow.,vampire,-30|10,Rules.addplayerinnatestatus(SURVIVE[;] 1[;] true); Rules.addenemyinnatestatus(SURVIVE[;] 1[;] true);,YES
Scathach (MQ),Everyone has only 1 dice|on the first turn.,scahatch,-60|-30,Rules.addextrascript(~if (turn == 1) {self.extradice = 1 - self.dice; self.setvar(\~mqscathachremix\~[;] self.extradice); target.extradice = 1 - target.dice; target.setvar(\~mqscathachremix\~[;] target.extradice);} else {self.extradice -= self.getvar(\~mqscathachremix\~); self.setvar(\~mqscathachremix\~[;] 0); target.extradice -= target.getvar(\~mqscathachremix\~); target.setvar(\~mqscathachremix\~[;] 0);}~[;] ~beforestartturn~);,YES
Loud Bird (MQ),CAW! CAAAAAAW!,loudbird,0|-50,Rules.addextrascript(~if (chance(33)) {sfx(\~loudbirdscreech\~); screenshake();}~[;] ~beforestartturn~); Rules.addextrascript(~if (chance(25)) {sfx(\~loudbirdscreech\~); screenshake();}~[;] ~endturn~); Rules.addextrascript(~{sfx(\~loudbirdscreech\~); screenshake();}~[;] ~playerequipmentuse~); Rules.addextrascript(~if (rand([1|2]) == 1) {sfx(\~loudbirdscreech\~); screenshake();}~[;] ~enemyequipmentuse~);,YES
Buster (MQ),Chance to do [fire]2 fire damage when|using any piece of equipment.,dragon,-130|-60,Rules.addextrascript(~if (chance(25)) {attack(2[;] FIRE); sfx(\~_fire\~);}~[;] ~playerequipmentuse~); Rules.addextrascript(~if (chance(25)) {attack(2[;] FIRE); sfx(\~_fire\~);}~[;] ~enemyequipmentuse~);,YES
Snowman (MQ),Everyone is strong to ice damage|and weak to fire damage.,snowman,-10|-50,self.innate.push(~strongice~); self.innate.push(~weakfire~); Rules.addextrascript(~target.innate.push(\~strongice\~); target.innate.push(\~weakfire\~); new elements.Skill(\~mqelementalresistancefixboth\~).execute(self[;] target);~[;] ~startcombat~);,YES
Fireman (MQ),Everyone is strong to fire damage|and weak to ice damage.,fireman,-20|-30,self.innate.push(~strongfire~); self.innate.push(~weakice~); Rules.addextrascript(~target.innate.push(\~strongfire\~); target.innate.push(\~weakice\~); new elements.Skill(\~mqelementalresistancefixboth\~).execute(self[;] target);~[;] ~startcombat~);,YES
Singer (MQ),Everyone heals after using|10 pieces of equipment.,singer,-20|0,Rules.addextrascript(~var verse = getstatus(\~mqverse\~); if (verse < 1) verse = 1; inflictself(\~mqverse\~[;] verse); removestatus(\~mqverse\~[;] ALL);~[;] ~beforestartturn~); Rules.addextrascript(~var verse = getstatus(\~mqverse\~); if (verse < 1) verse = 1; inflictself(\~mqverse\~[;] verse); removestatus(\~mqverse\~[;] ALL);~[;] ~endturn~); Rules.addextrascript(~inflictself(\~mqverse\~); if (getstatusself(\~mqverse\~) >= 10) {removestatusself(\~mqverse\~[;] 9); attackself(-4); if (target.hp > 0) attack(-4); sfx(\~_heal\~);}~[;] ~playerequipmentuse~); Rules.addextrascript(~inflictself(\~mqverse\~); if (getstatusself(\~mqverse\~) >= 10) {removestatusself(\~mqverse\~[;] 9); attackself(-4); if (target.hp > 0) attack(-4); sfx(\~_heal\~);}~[;] ~enemyequipmentuse~);,YES
Vacuum (MQ),Enemies lose 25% of their health[;]|but heal by [heal]2 on each attack.,vacuum,-100|50,Rules.enemyhpadjust = 0.75; Rules.addextrascript(~if (target.hp < target.getvar(\~vacuumremixoldhp\~) # getstatus(SHIELD) < target.getvar(\~vacuumremixoldshield\~)) attackself(-2); target.setvar(\~vacuumremixoldhp\~[;] target.hp); target.setvar(\~vacuumremixoldshield\~[;] getstatus(SHIELD));~[;] ~enemyequipmentuse~); Rules.addextrascript(~target.setvar(\~vacuumremixoldhp\~[;] target.hp); target.setvar(\~vacuumremixoldshield\~[;] getstatus(SHIELD));~[;] ~endturn~);,YES
