Name,Description,Script
Hidden Blade,Get a Dagger for this turn and roll 3 low dice,giveequipment(~Dagger~); givedice([rand([1[;] 2[;] 3])[;] rand([1[;] 2[;] 3])[;] rand([1[;] 2[;] 3])]);
Sharpening,Increase damage by 3 this fight,sfx(~_metals~); inflictself(~mqsharpening~[;] 3);
Pocket Chisel,-1 to all dice[;] roll a 1 for each dice,var ones = []; var c = 0; for (mydice in self.dicepool) if (mydice.available()) {var newvalue = mydice.basevalue - 1; if (newvalue < 1) newvalue = 1; mydice.animatereroll(newvalue[;] self.screenposition()[;] c * 0.05); c++; ones.push(1);} givedice(ones);
Prediction,Dodge the next attack,sfx(~_dodge~); inflictself(DODGE);
Speculation,50% chance to dodge the next attack,sfx(~_dodge~); inflictself(~alternate_dodge~);
Luckier Roll,Roll an extra six,givedice(6);
Lucky Bomb,Do [sword]7 damage,attack(7); sfxdamage(7[;] target);
Rejuvenation,Heal [heal]6 health,attackself(-6); sfx(~_heal~);
Refinery,Upgrade something (once),var upgradeable = []; for (eq in self.equipment) if (!eq.originallyupgraded && !eq.upgraded && eq.name != ~Flamethrower~ && eq.skillcard == ~~ && eq.ready) upgradeable.push(eq); if (upgradeable.length > 0) {sfx(~upgradeequipment~); var myeq = rand(upgradeable); var oldx = myeq.x; var oldy = myeq.y; myeq.create(myeq.name[;] true); myeq.x = oldx; myeq.y = oldy; myeq.animate(~flashandshake~); myeq.ready = true; Gadget.changegadget(self[;] ~Refinery~[;] ~Broken Gadget~);}
Megaflick,Throw all dice[;] get new,var dicenum = 0; var newdice = []; for (mydice in self.dicepool) if (mydice.available()) {dicenum++; newdice.push(rand([1[;] 2[;] 3[;] 4[;] 5[;] 6]));} for (i in 0...dicenum) throwdice(self[;] target[;] i * 0.2); var actDelayedFunction = new motion.actuators.SimpleActuator(null[;] dicenum * 0.2[;] null); actDelayedFunction.onComplete(givedice[;] [newdice]); actDelayedFunction.move();
Revolver,[sword]6 dmg (even turns),if ((turn % 2) == 0) {attack(6); sfxdamage(6[;] target);} else target.textparticle(~No effect!~);
Mailbox,Get a random item,sfx(~_thinghappens~); giveequipment(rand([~Magic Axe~[;] ~Fortress~[;] ~Lightning Pistol~[;] ~Matchstick~[;] ~Nightstick~[;] ~Disduplicator~[;] ~Evening Charm~[;] ~Sonar~[;] ~Acupuncture~[;] ~Poison Edge~[;] ~Fake Call~[;] ~Blightning Rod~[;] ~Venom Extractor~[;] ~Assemble~[;] ~Keychain~]));
Recalculate,Set CPU counter to 0[;] destroy all dice,adjustrobotcounter(-self.roll_total); for (mydice in self.dicepool) if (mydice.available()) mydice.animate(~disappear~);
Sentry Gun (LV0),No effect,
Sentry Gun (LV1),Do [sword]3 damage,attack(3); sfxdamage(3[;] target);
Sentry Gun (LV2),Do [sword]6 damage,attack(6); sfxdamage(3[;] target);
