Name,Description,Image,ImageOffset,Rule Change,Apply On Continue
Random,A different rule change[;] chosen randomly.,_random,,,YES
Lady Luck,All enemy equipment is upgraded.,_ladyluck,-50|-22,Rules.upgradeenemyequipment = true;,YES
Wolf Puppy,Everyone starts with [fury]Fury[].|MQ: Everyone is [heal]Lucky.,wolfpuppy,0|0,if (levelupselections.indexOf(~InitialEquipment:MegaQuest Deck~) > -1){Rules.addplayerinnatestatus(~luck~); Rules.addenemyinnatestatus(~luck~);} else{Rules.addplayerinnatestatus(FURY[;] 1[;] true); Rules.addenemyinnatestatus(FURY[;] 1[;] true);},YES
Sorceress,Enemies can throw unused dice at you.|MQ: Everyone gains random statuses.,sorceress,0|0,if (levelupselections.indexOf(~InitialEquipment:MegaQuest Deck~) > -1){Rules.addextrascript(~if (target.hp > 0) {var statuslist = [FIRE[;] ICE[;] LOCK[;] SHOCK[;] WEAKEN[;] BLIND[;] CURSE[;] VANISH[;] FURY[;] DODGE[;] REDUCE]; var mystatus = rand(statuslist); inflictself(mystatus); inflict(mystatus); sfx(\~_\~ + mystatus.toLowerCase());}~[;] ~beforestartturn~);} else{Rules.enemiescanthrowdice = true;},YES
Drake,Enemies get 20% extra health.|MQ: Everyone survives one fatal blow.,vampire,-30|10,if (levelupselections.indexOf(~InitialEquipment:MegaQuest Deck~) > -1){Rules.addplayerinnatestatus(SURVIVE[;] 1[;] true); Rules.addenemyinnatestatus(SURVIVE[;] 1[;] true);} else{Rules.enemyhpadjust = 1.2;},YES
Scathach,You are [curse]Cursed[] each turn.|MQ: Everyone has 1 dice on turn 1.,scahatch,-60|-30,if (levelupselections.indexOf(~InitialEquipment:MegaQuest Deck~) > -1){Rules.addextrascript(~if (turn == 1) {self.extradice = 1 - self.dice; self.setvar(\~mqscathachremix\~[;] self.extradice); target.extradice = 1 - target.dice; target.setvar(\~mqscathachremix\~[;] target.extradice);} else {self.extradice -= self.getvar(\~mqscathachremix\~); self.setvar(\~mqscathachremix\~[;] 0); target.extradice -= target.getvar(\~mqscathachremix\~); target.setvar(\~mqscathachremix\~[;] 0);}~[;] ~beforestartturn~);} else{Rules.addplayerinnatestatus(CURSE);},YES
Loud Bird,Enemies will [dodge]Dodge[] your first|attack every turn. MQ: CAW!,loudbird,0|-50,if (levelupselections.indexOf(~InitialEquipment:MegaQuest Deck~) > -1){Rules.addextrascript(~if (chance(33)) {sfx(\~loudbirdscreech\~); screenshake();}~[;] ~beforestartturn~); Rules.addextrascript(~if (chance(25)) {sfx(\~loudbirdscreech\~); screenshake();}~[;] ~endturn~); Rules.addextrascript(~{sfx(\~loudbirdscreech\~); screenshake();}~[;] ~playerequipmentuse~); Rules.addextrascript(~if (rand([1|2]) == 1) {sfx(\~loudbirdscreech\~); screenshake();}~[;] ~enemyequipmentuse~);} else{Rules.addenemyinnatestatus(DODGE);},YES
Buster,Burning dice cost [heart]5[] hp. MQ: Item|use might also deal 2 fire damage.,dragon,-130|-60,if (levelupselections.indexOf(~InitialEquipment:MegaQuest Deck~) > -1){Rules.addextrascript(~if (chance(25)) {attack(2[;] FIRE); sfx(\~_fire\~);}~[;] ~playerequipmentuse~); Rules.addextrascript(~if (chance(25)) {attack(2[;] FIRE); sfx(\~_fire\~);}~[;] ~enemyequipmentuse~);} else{Rules.burningdicecost = 5;},YES
Snowman,One of your dice is always [ice]Frozen.|MQ: Fire is stronger[;] ice is weaker.,snowman,-10|-50,if (levelupselections.indexOf(~InitialEquipment:MegaQuest Deck~) > -1){self.innate.push(~strongice~); self.innate.push(~weakfire~); Rules.addextrascript(~target.innate.push(\~strongice\~); target.innate.push(\~weakfire\~); new elements.Skill(\~mqelementalresistancefixboth\~).execute(self[;] target);~[;] ~startcombat~);} else{Rules.addplayerinnatestatus(ICE);},YES
Fireman,One of your dice is always [fire]Burning.|MQ: Ice is stronger[;] fire is weaker.,fireman,-20|-30,if (levelupselections.indexOf(~InitialEquipment:MegaQuest Deck~) > -1){self.innate.push(~strongfire~); self.innate.push(~weakice~); Rules.addextrascript(~target.innate.push(\~strongfire\~); target.innate.push(\~weakice\~); new elements.Skill(\~mqelementalresistancefixboth\~).execute(self[;] target);~[;] ~startcombat~);} else{Rules.addplayerinnatestatus(FIRE);},YES
Singer,On your first turn[;] all dice are equal.|MQ: Everyone heals after 10 item uses.,singer,-20|0,if (levelupselections.indexOf(~InitialEquipment:MegaQuest Deck~) > -1){Rules.addplayerinnatestatus(~mqruleverse~[;] 1); Rules.addenemyinnatestatus(~mqruleverse~[;] 1);} else{Rules.addextrascript(~Rules.stackplayerdice([[rand([1[;]2[;]3[;]4[;]5[;]6])]][;] false[;] false);~[;] ~startcombat~);},YES
Vacuum,Enemies gain 10% health. MQ: Enemies|lose 25% health[;] but drain [heart]2 per attack.,vacuum,-100|50,if (levelupselections.indexOf(~InitialEquipment:MegaQuest Deck~) > -1){Rules.enemyhpadjust = 0.75;  Rules.addenemyinnatestatus(~mqvacuumrule~);} else{Rules.enemyhpadjust = 1.1;},YES
Sticky Hands,Enemies have a chance to go first.|MQ: Lose [gold]4 gold.,stickyhands,-90|10,if (levelupselections.indexOf(~InitialEquipment:MegaQuest Deck~) > -1){self.gold -= 4; if (self.gold < 0) self.gold = 0;} else{Rules.addextrascript(~var goesfirst = false; if((self.maxhp / self.hp) < 2) { goesfirst = chance(60); } else { goesfirst = chance(20); } if(goesfirst){ target.innate.push(\~goesfirst\~); }~[;] ~startcombat~);},YES
