Name,Displayed As,Symbol,Description,Stacks?,Remove at End Turn?,Remove at Start Turn?,Invisible?,Blocked by Reduce?,Script: When inflicted,Script: On any status infliction,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: After Combat,Script: On damage inflicted,Script: On damage taken,Script: On status remove
ice,Frozen,ice,Turns the highest dice rolled into a 1.,YES,YES,NO,NO,YES,,,,,,,,,,,
ice_all,Frozen_all,ice,Turns the highest dice rolled into a 1.,NO,YES,NO,NO,YES,,,,,,,,,,,
fire,Burn,fire,Sets the next dice on fire. Costs [heart]2[] hp to extinguish.,YES,YES,NO,NO,YES,,,,,,,,,,,
fire_all,Burn_all,fire,Sets the next dice on fire. Costs [heart]2[] hp to extinguish.,NO,YES,NO,NO,YES,,,,,,,,,,,
shock,Shocked,shock,Temporarily disables random equipment.|Can use a dice to unshock.,YES,YES,NO,NO,YES,,,,,,,,,,,
weaken,Weaken,weaken,Temporarily weakens random equipment.|Equipment becomes less powerful.,YES,YES,NO,NO,YES,,,,,,,,,,,
silence,Silence,silence,Cannot use special character skills or limit breaks.,NO,YES,NO,NO,YES,,,,,,,,,,,
dodge,Dodge,dodge,Avoid the next attack.,YES,NO,YES,NO,NO,,,,,,,,,,,
blind,Blind,blind,Cannot see the dice values.,YES,YES,NO,NO,YES,,,,,,,,,,,
poison,Poison,poison,Lose [heart]<value> health at the start of turn. Pierces shields.,YES,NO,NO,NO,YES,,,,,,,,,,,
fury,Fury,fury,The next equipment will be used twice.,YES,NO,NO,NO,NO,,,,,,,,,,,
reequipnext,Re-Equip_Next,recycle,The next equipment you use can be used again on this turn.,YES,YES,NO,NO,NO,,,,,,,,,,,
reduce,Reduce_by,reduce,Take less damage from every attack this turn.,YES,NO,YES,NO,NO,,,,,,,,,,,
lock,Locked,lock,Cannot use dice.,YES,YES,NO,NO,YES,,,,,,,,,,,
dice_trigger_1,Dice_Trigger_1,dice,Roll an extra dice next turn if the enemy rolls a 1.,NO,NO,YES,NO,NO,,,,,,,,,,,
dice_trigger_2,Dice_Trigger_2,dice,Roll an extra dice next turn if the enemy rolls a 2.,NO,NO,YES,NO,NO,,,,,,,,,,,
dice_trigger_3,Dice_Trigger_3,dice,Roll an extra dice next turn if the enemy rolls a 3.,NO,NO,YES,NO,NO,,,,,,,,,,,
dice_trigger_4,Dice_Trigger_4,dice,Roll an extra dice next turn if the enemy rolls a 4.,NO,NO,YES,NO,NO,,,,,,,,,,,
dice_trigger_5,Dice_Trigger_5,dice,Roll an extra dice next turn if the enemy rolls a 5.,NO,NO,YES,NO,NO,,,,,,,,,,,
dice_trigger_6,Dice_Trigger_6,dice,Roll an extra dice next turn if the enemy rolls a 6.,NO,NO,YES,NO,NO,,,,,,,,,,,
counter_1,Counter_1,lock,All enemy dice that roll 1 are locked.,NO,YES,NO,NO,YES,,,,,,,,,,,
counter_2,Counter_2,lock,All enemy dice that roll 2 are locked.,NO,YES,NO,NO,YES,,,,,,,,,,,
counter_3,Counter_3,lock,All enemy dice that roll 3 are locked.,NO,YES,NO,NO,YES,,,,,,,,,,,
counter_4,Counter_4,lock,All enemy dice that roll 4 are locked.,NO,YES,NO,NO,YES,,,,,,,,,,,
counter_5,Counter_5,lock,All enemy dice that roll 5 are locked.,NO,YES,NO,NO,YES,,,,,,,,,,,
counter_6,Counter_6,lock,All enemy dice that roll 6 are locked.,NO,YES,NO,NO,YES,,,,,,,,,,,
recycle,Recycle,recycle,All equipment becomes reusable.,NO,YES,NO,NO,NO,,,,,,,,,,,
infinite,Infinite,dice,Too many dice.,NO,YES,NO,YES,NO,,,,,,,,,,,
pierce,Pierce,shield,Next attack ignores shield.,YES,YES,NO,NO,NO,,,,,,,,,,,
curse,Cursed,curse,All equipment has a 50% chance to fail.|Disappears once triggered.,YES,YES,NO,NO,YES,,,,,,,,,,,
confuse,Confuse,confuse,Equipment is mixed-up and obscured this turn.,NO,YES,NO,NO,YES,,,,,,,,,,,
shield,Shield,shield,Blocks incoming damage.,YES,NO,NO,NO,NO,,,,,,,,,,,
survive,Survive,curse,Survive the next fatal blow.,NO,NO,NO,NO,NO,,,,,,,,,,,
vampire,Vampire,curse,Can only be killed with a wooden stake.,NO,NO,NO,NO,YES,,,,,,,,,,,
lantern,Lantern,dice,Stash some dice for next turn.,NO,NO,YES,NO,NO,,,,,,,,,,,
illuminate,Illuminate,dice,Stash some dice for next turn.,NO,NO,YES,NO,NO,,,,,,,,,,,
extraturn,Extra_Turn,confuse,Take an extra turn.,NO,NO,YES,NO,NO,,,,,,,,,,,
stash1,Stash_1,dice,Roll an extra 1 next turn.,YES,NO,NO,YES,NO,,,,,,,,,,,
stash2,Stash_2,dice,Roll an extra 2 next turn.,YES,NO,NO,YES,NO,,,,,,,,,,,
stash3,Stash_3,dice,Roll an extra 3 next turn.,YES,NO,NO,YES,NO,,,,,,,,,,,
stash4,Stash_4,dice,Roll an extra 4 next turn.,YES,NO,NO,YES,NO,,,,,,,,,,,
stash5,Stash_5,dice,Roll an extra 5 next turn.,YES,NO,NO,YES,NO,,,,,,,,,,,
stash6,Stash_6,dice,Roll an extra 6 next turn.,YES,NO,NO,YES,NO,,,,,,,,,,,
thorns,Thorns,thorns,Enemy takes [sword]<value> damage if they attack this turn.|(1 for each [thorns] thorn.),YES,NO,YES,NO,YES,,,,,,,,,,,
luck,Luck,heal,Items that depend on luck have a higher chance to succeed.,NO,YES,YES,NO,NO,,,,,,,,,,,
luck+,Luck+,heal,Items that depend on luck work 100% of the time.,NO,YES,YES,NO,NO,,,,,,,,,,,
cpuprotect,CPU_Protect,dice,If you exceed the CPU target[;] reduce CPU by the excess.,NO,YES,YES,NO,NO,,,,,,,,,,,
cpuvirus,Virus,cog,When you use equipment[;] increase CPU by <value>.,YES,YES,YES,NO,NO,,,,,,,,,,,
cpushield,Safe_Bet,cog,The next roll won't exceed the CPU target.,YES,YES,YES,NO,NO,,,,,,,,,,,
mana,Mana,mana,Mana is used to grant bonus powers on certain cards.|Disappears at the end of the fight.,YES,NO,NO,NO,NO,,,,,,,,,,,
doublecast,Double_Cast,confuse,Place two copies of the next spell you cast.,YES,YES,YES,NO,NO,,,,,,,,,,,
alternate_ice,Frozen?,ice,Reduce all dice values by <value>.,YES,YES,NO,NO,YES,,,,,,,,,,,
alternate_ice_all,Frozen_all?,ice,Reduce all dice values by 1.,NO,YES,NO,NO,YES,,,,,,,,,,,
