Name,Value,Colour,Type
uru_d,d,0xffffff,REPLACEMENT
uru_g,g,0xffffff,REPLACEMENT
uru_n,n,0xffffff,REPLACEMENT
uru_b,b,0xffffff,REPLACEMENT
uru_h,h,0xffffff,REPLACEMENT
uru_m,m,0xffffff,REPLACEMENT
uru_t,t,0xffffff,REPLACEMENT
verysmall,0.7,0xffffff,SIZECHANGE
small,0.75,0xffffff,SIZECHANGE
smallish,0.8,0xffffff,SIZECHANGE
medium,0.9,0xffffff,SIZECHANGE
normal,1,0xffffff,SIZECHANGE
bigish,1.25,0xffffff,SIZECHANGE
big,1.5,0xffffff,SIZECHANGE
huge,3,0xffffff,SIZECHANGE
gray,0,0xdddddd,COLOUR
grey,0,0xdddddd,COLOUR
white,0,0xffffff,COLOUR
blue,0,0x42ebff,COLOUR
red,0,0xfd5e6c,COLOUR
green,0,0x98e941,COLOUR
yellow,0,0xfff830,COLOUR
purple,0,0xbda0f4,COLOUR
orange,0,0xf7a06f,COLOUR
dice,0,0xffffff,SYMBOLTILE
dice1,0,0xffffff,SYMBOLTILE
dice2,0,0xffffff,SYMBOLTILE
dice3,0,0xffffff,SYMBOLTILE
dice4,0,0xffffff,SYMBOLTILE
dice5,0,0xffffff,SYMBOLTILE
dice6,0,0xffffff,SYMBOLTILE
dice?,0,0xffffff,SYMBOLTILE
d6,1,0xffffff,SYMBOLTILE
blind,2,0x9d9d9d,SYMBOLTILE
weaken,3,0xf7a06f,SYMBOLTILE
reduce,4,0xf7a06f,SYMBOLTILE
shock,5,0xfff830,SYMBOLTILE
fury,6,0xfd5e6c,SYMBOLTILE
recycle,7,0x98ea40,SYMBOLTILE
silence,8,0x42ebff,SYMBOLTILE
gold,9,0xfdf631,SYMBOLTILE
fire,10,0xfd5e6c,SYMBOLTILE
heal,11,0x98e941,SYMBOLTILE
sword,12,0xFFFFFF,SYMBOLTILE
dodge,13,0xfff830,SYMBOLTILE
ice,14,0x42ebff,SYMBOLTILE
poison,15,0xBDA0F4,SYMBOLTILE
shield,16,0xf7a06f,SYMBOLTILE
curse,17,0x9d9d9d,SYMBOLTILE
heart,18,0xfd5e6c,SYMBOLTILE
star,19,0xfff830,SYMBOLTILE
confuse,19,0xfff830,SYMBOLTILE
lock,20,0xffffff,SYMBOLTILE
thorns,21,0x98ea40,SYMBOLTILE
cog,22,0xfff830,SYMBOLTILE
jinx,23,0xec6cee,SYMBOLTILE
mana,26,0xffffff,SYMBOLTILE
potion,27,0xec6cee,SYMBOLTILE
vanish,31,0xec6cee,SYMBOLTILE
haunted,32,0xbda0f4,SYMBOLTILE
voodoo,voodoo,0x8080ff,IMAGE
edenmana,edenmana,0x2484db,IMAGE
maxmana,maxmana,0x2274cb,IMAGE
maxmanacolor,0,0x2274cb,COLOUR
flow,flow,0x58c090,IMAGE
trinity,trinity,0xe56cae,IMAGE
tricolor,0,0xd564a2,COLOUR
trinitycast,trinitycast,0xd564a2,IMAGE
fragile,fragile,0xb5495d,IMAGE
jam,jam,0xa0a0a0,IMAGE
frost,frost,0x6ef9ff,IMAGE
link,link,0xec3f43,IMAGE
flame,flame,0xe79c00,IMAGE
slow,slow,0x679ba3,IMAGE
root,root,0x995939,IMAGE
crack,crack,0x799abb,IMAGE
edenmanacolor,0,0x2484db,COLOUR
break,break,0x9cb7c9,IMAGE
push,push,0x219f98,IMAGE
pull,pull,0x219f98,IMAGE
move,move,0x219f98,IMAGE
toxin,toxin,0xc11dda,IMAGE
guard,guard,0xffa146,IMAGE
haste,haste,0xa4d0fd,IMAGE
anchor,anchor,0x86a6ff,IMAGE
ancolor,0,0x86a6ff,COLOUR
spellpower,spellpower,0x5083ff,IMAGE
spellcolor,0,0x5083ff,COLOUR
jolt,jolt,0xffdc00,IMAGE
anima,anima,0xffffff,IMAGE
red2,0,0xec3f43,COLOUR
orange2,0,0xe79c00,COLOUR
yellow2,0,0xffdc00,COLOUR
green2,0,0x58c090,COLOUR
blue2,0,0x6ef9ff,COLOUR
manaregen,manaregen,0x2484db,IMAGE
nonspell,nonspell,0x5083ff,IMAGE
combo,combo,0xc0c0c0,IMAGE
voodoocolor,0,0x8080ff,COLOUR
